,,,p-Value,,0.757 ,0.878 ,0.039 ,0.021 ,,,t,-0.32 ,0.16 ,2.22 ,2.52 ,,,,,,,,,,,,,,
,,,Group,Post-test stage,"Technology acceptance
",First Draft Satisfaction,"Seconda Draft Satisfaction
",Engagemnt,"Knowledge Construction
",,p-Value,0.757 ,0.878 ,0.039 ,0.021 ,,,,,,,,,,,,,,
,,,Mean ALens,,4.43 ,3.50 ,5.33 ,4.33 ,5.33 ,,Post-test Stage,,,,,,,,,,,,,,,,,,
,,,Mean Baseline ,,3.89 ,3.67 ,4.67 ,4.44 ,3.78 ,,Group,"Technology acceptance
",First Draft Satisfaction,"Seconda Draft Satisfaction
",Engagemnt,"Knowledge Construction
",,,,,,,,,,,,,
,,,SD ALens,,1.04 ,1.09 ,0.49 ,0.49 ,0.98 ,,Mean ALens,4.43 ,3.50 ,5.33 ,4.33 ,5.33 ,,,,,,,,,,,,,
,,,SD Baseline,,0.83 ,0.71 ,0.71 ,0.53 ,0.67 ,,Mean Baseline ,3.89 ,3.67 ,4.67 ,4.44 ,3.78 ,,,,,,,,,,,,,
,,,t,,1.31 ,-0.42 ,2.42 ,-0.49 ,4.31 ,,SD ALens,1.04 ,1.09 ,0.49 ,0.49 ,0.98 ,,,,,,,,,,,,,
,,,p-Value,,0.205 ,0.676 ,0.030 ,0.629 ,0.000 ,,SD Baseline,0.83 ,0.71 ,0.71 ,0.53 ,0.67 ,,,,,,,,,,,,,
,,,,,,,,,,,t,1.31 ,-0.42 ,2.42 ,-0.49 ,4.31 ,,,,,,,,,,,,,
,,,,,,,,,,,p-Value,0.205 ,0.676 ,0.030 ,0.629 ,0.000 ,,,,,,,,,,,,,
